tweet,class
عماله اع سمعته بتاع خمستاشرمره  D  pt  ,1
وازي ابراهيم السكري وازي شوقي العنبري   وريحه عرقه زي النيله    ,0
عذرا نويتن رنا سماحه سر الجاذبيه  رنا_سماحه_في_انت_حر  ,1
هنفضل نحيك طول عمرنا عشان انتي انسانه قبل متكوني فنانه رنا سماحه  رنا_سماحه_في_انت_حر  ,1
وبشهدلك قصاد الناس  ,1
جون كوستاريكا ده اتشقلب قدامنا  ,1
مليش مزاج  ,0
 ماسبق اسءله مفيد فوزي العميقه ليسرا  حدث_حالا  شلل  الحقوني  ,0
    حكم ابن وسخه هيودينا دهيه      ,0
 المصدر حصاد قطاع المشروعات الصغيره والمتوسطه خلال العام الجاري لقراءه التفاصيل عبر الرابط  ,2
رمز للفن الراقي ولديها قبول واحساس وصوت روعه  رنا_سماحه_في_انت_حر  ,1
الحكم اهلاوي  معقوله   ,0
جولين ولاد الوثخه حكام معرصين صحيح  ,0
العيال ام تكبر بتتملي مساخه  ,0
      مشكوره ام عبدالله     ,1
قبل ماتتكلم علي الجول بولي الانذارين فيهم ايه     ,0
احلي ايام  ,1
قولوا الكلمه بسرعه في السر اهو تبقي اتقالت خلاص  ,2
 AhmedGamal_On_CBC احمد جمال في معكم مني الشاذلي  ,2
ما العشري تربيه جوزيه بقي  يلا_دوري  ,1
يابن اللعيبه جوووووووووووووووو     D  ,1
انا متفرجتش كيرمت وماتفرجتش ولا حلقه هاو ميت يور ماذر اللي وخداه يحيي اسابيع وماتفرجتش سويني تود انا باءسه فشخ حرفيا   ,0
الزمالك خسر كام       ,2
حبك ياسطي وربنا     ,1
رنا سماحه ياقلبنا ما تغبيش عننا لانك سرقتي قلوبنا كلنا  رنا_سماحه_في_انت_حر  ,1
مش سامع صوووت يعني  ,0
منت قد الوسط الرياضي روح استقيل  ,0
انتي كمان والله يابسبوسه  ,1
      رفيق السوء مثل البعوض لا تحس به الا بعد اللسع  مصطفي المنفلوطي     ,0
   يبدو انك حقا نسيتني الم تعد تهتم لامري    ما كان عليا ان احبك كثيرا        ,0
دي بتتعافي خالص  ,1
   اماه لو اني نزعت الجلد وجهي لتنتعليه فانتعليه لا تحرميني الشرف ما زلت  وعيت  اطمع فيه  فواز اللعبون     ,1
اتناك  ,0
ال متروقين اربعه امبارح ليهم عين يتكلمو بمناسبه ايه عايزه افهم      ,0
احا دوري  ,0
شيخنا ابن_باز صلي الخطيب اثناء خطبه الجمعه علي الرسول عليه الصلاه والسلام فليصل المستمع علي الرسول ولكن في نفسه لا يرفع بها صوته  ,2
ديني      ظابط عملي فولو  ,0
اوووووووووووووووف انا عكيت الدنيا في بعض     ,0
   عندابن ماجه   ما جرعه اعظم اجرا عند الله جرعه غيظ كظمها عبد ابتغاء وجه الله مقابله السيءه والاسمي كظمها اجل لله     ,2
رنا سماحه عنوان لفن فهي لديها موهبه شامله  رنا_سماحه_في_انت_حر  ,1
يارب طارق العشري يدرب الاهلي  ,1
انتي ملكيش عازه  ,0
انا قلبي عليييك    قلبي  ,1
دوبني دوب هوي         ,1
انا مش فاهمه حاجه الله ببقولوها بس متحمسه ومبسوطه بالاغنيه  DoaaElSebaii دعاء السباعي  ,1
وفي الاخر خسرنا الحكم واحمد سمير تغطيه الاول وبلنت التاني وباتشيكو اللي مجمد معروف وحفني جنبه  ,0
دا فيه مخه اهبل ههههههههههه  ,0
   ملخص الحياه    فمن اتبع هداي فلا يضل ولا يشقي اعرض عن ذكري فان له معيشا ضنكا           ,2
يعني مزقش لطفي بعد ما الكوره وقعت منه  ,2
خدمه انت بس تءمري  _   ,1
كيف السبيل وصالك دلني  ,1
ما بقاش غير ابراهيم سعيد كمان  ,0
اصل صاحب تويتر بيصحي متاخر شويه  ,0
الست الشاطره جوزها ما يلعبش شجره حد غيرها  phelasoif  ,1
   المشكله ليست فيمن يخذلك يخونك يوجعك يسحقك المشكله انك تتمكن تصديق شخص نال منك مره لتمنحه فرصه النيل منك اخري        ,0
ايه خايف يقول وانا مش هقول كل اللي حاسه انا بيه  ,0
الخير شارك هشتاج  ازاي_نساعدك_يا_مصر  ,2
اتفرجوا علي الماتش الاول واتكلموا مش زيطه تكلموا  ,0
انجزوا بقي يارب محمد يارب  StaracArabia  DoaaElSebaii  ,1
فعلا انت محق احساس صعب جدا ومءلم  ,0
 انجي موتتني ضحك بجد     D  ,1
التاج ده بتاعنا النهارده اوبا بقي المصريين اهما       StaracArabia  DoaaElSebaii دعاء السباعي دعاء السباعي  ,1
      المصحف كاملا احمدالعجمي      ,2
 لميس الحديدي لو عايشه ايام الفرعنه      هتبقي     اله التعريص          لميس_ابليس  ,0
اهبل    انتبتلعب في عداد عمرك عبهادي بس انا برده منور  D  ,0
طب انتي شايفه حاجه غلط حصلت فيه  ,2
      رغبات قلبي بين يديك الله     ,1
فكره اني هصلح العجله انزل بيها في الاجازه مع صاحبي مسيطره عليا الصبح فرحان كان العيد بكره الواحد اتهبل والله  ,1
 MohammadChahine  MinaAtta  ShereenYehia والله خلتوني اعيط واتنطط الفرحه واصرخ حسيت انكم التلاته اخدتو اللقب الحمدلله هايرجعو باللقب  ,1
 MohammadChahine عن فرحتي اللي متتوصفش ياناس يارب احمدك يارب مبروووك لشاهين وتحيا مصر باولادها  ,1
مبرووووووك لينا شاهين وكفايه فرحت كنوز معانا وليث واسماعيل وعلوش وريتا بجد كلكم تستاهل كل خير ماعادا الحيوانه انفصام والكرومبه اللي معاها  ,1
ابني انتو زمالك مين وانبي مين لسه فاضل 24ماتش الدوري بتاعنا خروف منك ليه  هلي  ,0
اصيله انشراح   ,1
مبروك  طيب قلب شفته بحياتي شاهينووووووووو تستاهل ياعسل والله ربنا يحميك يارب  ,1
   عيد ميلاد المبدع العظيم صلاح جاهين   الله يرحمه         ,1
مبروك  محمد شاهين  ,1
انت بخييييييييييييييييير كبير  ,1
لا اله الا انت سبحانك اني كنت الظالمين      ,2
مش بعرف اعمل ريبورت      بلوك بس  ,0
انا ليا مين غيرك وهعيش لمين غيرك  ,1
قربكم حياه  ,1
مبررررررررروك رنوشتي ويستااهل ابن مصررررررر لووووووووووووولي رنا سماحه  ,1
هههههههههههههههههه الحمد لله اتحلت  ,1
احب اقول لي اتش اني لقيت الفرح بتع السودان طه سليمان  ,1
بيجيبو الكلام لنفسهم           ,0
لما الاهلي يتغلب امبارح وناس تشمت والزمالك يتغلب النهرده وناس تشمت يبقي  لسه  مصر مفيهاش روح رياضيه   ,0
قطر زفت بردو متتخيرش عنهم  ,0
صدقني فاهمه     وواثقه ان السيسي ميفرطش في كرامه مصر ابدا  ,1
شوفت فتي احلامي في لاتينو داون تاون   ,1
اكثر استفادتي ماده الرياضيات ان السالب بعد السالب يعطي موجب  للعقول الراقيه   ,1
وانا اشتقتلك اووووووووووووي والله وحشتيني جدااااااااااااا  ,1
انك بتشجع  الزمالك دي حاجه حد ذاتها شيء ايجابي لانك هتبقي ضامن انك داخل الجنه الزمالك متعود الخساره  مرتضي_منصور مبيبطلش شتايم  ,0
خليك قاعد لا تنسي اللي ما راح تنسيك ما في اشي تسوي   ,0
ههههههههههههههههههههههههههههههههههههههههههه  ,1
انت علي الموبيل ولا الكمبيوتر  ,2
اصلاااا ليث ده مصررررررري  StaracArabia  LaithAbuJoda  StaracTheFinal ليث ابو جوده  ,2
كما تدين تدان  كلمه_للزملكاويه  ,0
اه انكر صوته احلي وما شاء الله محبوب ومعظم فانز الطلاب كانوا معاه وكله بيصوتله  ,1
 جاريدو_مش_مدرب_ده_بتاع_بطيخ فضحتنا ليه تشمت فينا الزملكاويه اللي اصلا متعودين الخساره ليه كدا يااخي    دي عمرها ماحصلت  ,0
مش عارفه اقول غير ربنا موجود  ,0
مبروك شاهينو  lt 3 سنه لمصر اخيرا  ,1
المعني الحقيقي لكلمه الكريسماس  ,2
طيب حد يجي يشلني فيديو رنا بتزغرط ده ايه جدعان الحلاوه دي والكواته دي يخربيتك عيدته 10مرات مش زهقانه  RanaSamahaTeam  ,1
2014_ مهرجان القمه اسلام فانا النسخه الشعبي  np  SoundCloud  ,2
وانتي نورتيني     ,1
عنجد المفروض انو احلي ايام حياتي لا عنجد عنجد طيب   ,0
اعتقد لو كتبت البايو هطلع لفنون ده اكيد   ,2
    لا ثواني كده عشان افهم ايه اللي جميله زي هندسه  انت قصدك تخصص ديكور       ,2
اللمالبم الجول ال انت رشقتوا فيهم وانت عملهم حرقان غير عادي  ,0
 لو انت فاكر يونس سيلفيا زي القصه بتاعه زمان     سيلفيا تعود      D  3alahwa  ,2
 3alahwa سنه سعيده علينا يونس وعلي مصر كلها يارب وربنا يحمينا كلنا ويحفظ مصر ويارب نحقق احلامنا يارب بخير وسعاده  ,1
 مجرد التفكير اني اصحي وملاقيش في حياتي يبقي اتحكم عليا بالاعدام  جدتي ربنا يديكي طوله العمر        ,1
مينا عطا الاحساس الجامد  ,1
    وعليكم السلام وصباح النور         ,1
في فرق بين انك اتفشخت واتغلبت وانك اتظلمت واتغلبت  الزمالك  باصي_لعفيفي  ,0
ناس اوفر بالفطره مش كده وربنا       ,0
هفرح وابتسم مهما اشتد البلاء يزيدني  ,1
مينا عطا ممكن حد يجبلي رابط حساب بينزل صور الطلاب وهما بالسهره لاني عايزه اشوف مينا  ,2
طب والنسكافيه اوعي تكوني نسيتي وفكري عمتو بعصير اليوستفندي اللي فضل سر مابينا           ,2
رحت فين فيكي     ,1
انا  انت  مين ضيع حبنا بايديه    ,0
دا ايه الحزن دا  D  ,0
اسكندراني اهلاووووي وافتخر مبروووك للاتحاد سيد البلد وسنظل اوفياء لنادينا النادي الاهلي  ,1
سبحانك اللهم وبحمدك اشهد ان لا اله الا انت استغفرك واتوب اليك  ,1
عشان محدش يزعل علي الحلوه والمره معاه  الاهلي_في_القلب  ,1
كل عام واهل المحروسه بخير وعام افضل ومشرق انشاالله مصر ام الدنيا  ,1
وناس مكنتش تتوقع انهم ممكن يقفوا جنبك   مكنتش تتوقع انهم ممكن يكونوا قريبين منك   مكنتش تتوقع انهم ممكن يدخلوا حياتك في الاساس   ,1
انظر في قلبك ستراني  ,1
الشناوي يرجع الماتش الجي بقي وكفايه قله ادب  ,0
انت عارف ولاد الوسخه ليه مش بيموتوا عشان الوسخه ولاده     ,0
انا لو رءيس الزمالك وعارف اد ايه قيمه المنصب ده    كنت هعرف ان مينفعش بعد كل ماتش اتكلم وشعوذه وسحر واشتم فناس    انا عندي    سنه  ,0
 انت ليه مبتردش الموبايل   كان سايلنت  ليه عامله سايلنت   عشان لما تتصل اقولك اني مردتش عشان كان سايلنت             ,0
كل ما وماهو موجود بامر الله  ,1
بس تخيل فرقه كان النني ورزق وباسم علي ومحمد صلاح مع بعض وتقريبا محمود عزت كمان بس بيهاجم برضا لويشي  ,1
جزاكم الله خيرا  ,1
يارتني ما فتحت الواتس    جو عشق ممنوع مفيش مرعاه لاحساسك ولا لحبك  3  ,0
الحب للاحزان التوهه للانسان الياس للاوطان  ,0
ممكن الينك يتنشر عايزين نتفرج عليها الحفله دي  ,2
ما تحكيش حاجا لحد هتا لو كان اوريب منك عشان هيروه يحكي لل اوريب منو  مجربها  ,0
بردو بتجبلي سيره المزاكره انت حمار عبدو انت حمار يسطي ولا ايه وسك علي حوار الطلبه دلوقتي فتحي مش معانا  ,0
حبااا فوووق وحباااا  3alahwa      ,2
نسووان نسووان فقر طوول عمرهم  D  3alahwa  ,0
انا عايزه انجح غير مذاكر     ممكن       رساله_الي_السيسي  ,2
كل لغات العالم حبيتك الله العالم  ,1
 3alahwa كان عندنا مدرس بيضربنا بجلده حمير واحنا كنا نقعد نيناونوله  صوت القطه يعني الفصل ونروشه بس كان بيفتري علينا الصراحه  D  ,0
مبروك ابن مصر  محمد_شاهين  ,1
ماهو انا بطلت بس اللي شيلته تعبني نيك  ,0
يسعد روحك جاكيت  ,1
مانول جوزيه كل حاجه لباتشيكو في الدوري المصري الا انو لما الحكم يكون غبي معر  المفروض يقلعله هدومه  باصي_لعفيفي  ,0
اهاا كيفك مجوز توا انت مش مزال يقرا  ,2
علي فرحه مينااا وشيريييين لاخوهم شاهين دول ولاد البلد دي مصرررررر  تحيا_مصر  مينا_فخر_العرب  MinaAtta  ,1
كافراد لانهم متعودين علي الاشتباكات مع الامن ودي تجربه مفيده فادتهم في الثوره   الانتصارات القوميه بقي  ,1
دا كلام النجم محمد حماقي عن  مينااااااا فكواليس البرايم الواضح ان حماقي ال عجبه وركز معاه مينا عطا  StaracArabia  ,1
لا مش كل الاولتراس شباب جامعي انا كان معايا عربجيه حرفيا  ,0
حيث لا تدري كدا تبقي مخنوق دا اكيد سببه ان انت عبيت وشلت جواك كتير لحد لما مبقاش في حيز يساع اكتر كدا    ,0
طب انا بجد عايز اروح ومش عارف تعبان نيك مش هقدر اسوق حد يجي يروحني جدعان  ,0
   شهوه الجوع  تتغلب احيانا الشهوه الجنسيه        ,2
ممكن يكون اكتر حاجه بسطتك وفرحان بيها مصدر تعاستك في الحياه والعكس صحيح  قدر  غيب  ,2
ما يعني كنت شوفت لنفسي ديحو وبعدين هشام اكبر منك ب3 سنين يعني قدامه شويه ويموت انت لسه شباب  ,2
انا بسقط    Zzzz  ,0
يعني كانو ضد الثوره ونجحو الاخوان  ,2
حسبي الله ونعم الوكيل دول كلاب معندهمش لا دين ولا عقل الشامت له والله الجنه شهيد الواجب الوطني  ,0
عيزييييييييييييييين فيديوووووووو بليييييييييييييييز  ,2
باي واي انا ملت السياسه وكمان الماتشات فاضل ايه كده نهري فيه      ,0
ماله بقي وحش يعني     ,0
قولي احبك كي تزيد وسامتي بغير حبك لا اكون وسيما  ,1
كل اللي يومها فرحته معاك بيعذبني  ,0
   الصاحب الندل زي الكلوت   لا منه يستر ولا منه يدفي      ,0
 تواضروس  الحريه الزاءده    مضره      ويجب تشديد الرقابه علي الانترنت مش ناقص كمان غير يطلب بمحاكم التفتيش بتاعه العصور الوسطي  ,0
غبيه  ,0
انا امتي نسيتك  ولا عشان انا مش بتكلم             ,0
كفار قريش دول كانو وسخه جاحدين اوووي بقي النبي يعرض عليكم تدخلو وتدخلو الجنه وترفضوا كانو هيخسروا ايه يعني مش احسن صنام  ,0
 الوطن بالفيديو شريف مدكور  هعرض 10 ثواني اغنيه الكريسماس عشان الباقي عيب  ,2
والله انا بغير جدا علي اختي مش عارف ليه  ,1
ايوه مش ده اللي قناه الشرق جابته    ده عندي في الاصدقاء علي الفيس    واعرفه  ,2
   الخوف اللي يخليك مش عارف تفرح دا اسخف الحاجات الدنيا   ,0
     زغروطه ل   رنا سماحه    عقب فوز شاهين بلقب ستار اكاديمي  زغروطه ل   رنا سماحه    ,2
ملعون ابو الاحتياج     ,0
ايه علي الفيس بوك ياكابتن  وانت بتلعب في نادي ايه  ,2
تعرف علي لهاتفك الذكي وقم بتنزيله  ,2
انا عيز اتعرف عليكي  ,1
الكفن ملوش جيوب يتحط الفلوس  ,0
امتحاني بكره    بس كده  ,2
كل عام وحبك الاجمل مضوي شمعه سنيني كل عام وانت الاول في حياتي وقلبي وعيني  ,1
شغل بيض احا نيك نادي معرض مليان         ,0
موقع تعليمي للاطفال  ,2
ما حبها    حبها ضحكتها  ,1
اليووم كلنا حمام     ,1
واهي خلصت الحكايه    بالخير افتكرها  ,1
كاستيلو المنتزه بقا خره نيك  ,0
اهم شء    الطاعه        ,1
ايووووووووه بقي مينوووو وحشتنااااا  مينا_فخر_العرب  MinaAtta  ,1
العشري جون  الزمالك الاول جول واحمد الله لانها لم يحتسب كاد انا يغير الناتيجه احا نعملكوا ايه تاني ولاد المره عوزين حكم الصين حكم مع  ,0
ازاي اسماء  ,2
 علمتني_الحياه ان يعيشون علي الارض ليسوا ملاءكه بل بشر قد يصيبوا يخطءوا فلا يجوز ان احكم علي شخص موقف واحد تعاملت معه فيه  ,1
 ميري_كرسمس كل سنه وانتم طيبين  ,1
انتهي مشوار الخواجه  ,0
مش عارف ابتدي مذاكره منين     ,0
اختصروا الطريق بدلا اختيار المنصف الانقلاب عليه يبدو ان الدوله العميقه ضاربه بجذورها في دول العالم النامي كله  ,0
اذ خانت المراه فهي تبحث عن الاهتمام    اذ خان الرجل يبحث عن عاهره  ,0
حبيبتي البعد ناار قلبي داب الانتظار  ,1
   سامحك الله  علمك ان خيبه       ,0
خي مالها قفلت كل حته كده لييه  ,0
الناس اللي حضرت حفلات البرلمان القديم ياريت ما يحضروش الحفله اللي جايه وخاصه ان مفيهاش رقص المره دي  ,0
ربنا يحميك انتا وزكرياااااا      بس تعالا مش تباركلي           ,1
اما نظم العداله الاجتماعيه فتبعث علي الاطمءنان والفضيله    يعني كل المشاكل الموجوده لم تكن موجوده ايام ناصر  ,1
    الدنيا كتاب انت فيه الفكر     ده كلام اغنيه رومانسيه  كلثوم ده دليل  اننا دلوقتي عايشين في بلاعه مجاري فكريه كبيره الله   ,0
تشجيني معانيها ارددها اغنيها انا سهران يجي النوم يناديني الاقي الشوق يصحيني علي الحرمان  ,1
شكرا يادكتور  ,1
عنلابوام الجنتله عم     ,0
احناا محدش يعله عليناا  بس كده وصلت  شكراا  ,0
فعلا عفيفي انت ديما بتنسينا الهم والقرف بفيديو يجيب الاخر  باصي_لعفيفي  ,1
لا ده اسمه علي اسم الغالي اسمه احمد     ,1
ايه رايك اقوله ايه بقا    انا بقول مودي حلو     ,1
    لا الصرمه دا لسه في الفيلدز  D بس وحاجه بلاعات خالص      ,0
انا هفضل ابني سفينتي حتي لو شربتو البحر  ,1
 وايه يعني تروح متجيش  وايه يعني هواها مفيش       ,0
نفسي كده في فلورز كتييييير  حرب_الفولورز_برعايه_سيزار_وترمس_افندي  ,1
انت اخويا الكبير اخويا فالدم ياعم  ,1
   اموت لا تحزنوا فانه مجرد وقت وتنسوني     كما نسيتوني وانا حي      ,0
عندما يتذكر المءمن ان الامر كله لله حياته تجري عليها اقدار الله واختياره له   فحتما سيطمءن قلبه   ,1
النظام اللي مرتضي منصور ماشي به ده يمشي مدرب بعد كل ماتش هيخسره هيودينا في داهيه وفي الاخر  الزمالك هينافس الاهلي المركز السابع  ,0
 DoaaElSebaii دعاء السباعي دودو وبس  ,1
 3alahwa انا نهي سنفوره القهوه اديرو     ,2
هههههههههههههههههه  ,1
سوني سوني افضل    بلاش فتي  D  ,2
اهم حاجه البورتلاندي اصل لمءغذه العمود دول لازم يبقي متيين  D  ,1
موتي اخر نقطه ندم جوايا ناحيتك     ,0
لما تعتبر حد عايش مات دي بتبقي اصعي موته  ,0
 RanaSamahaTeam  ومكملين_المشوار مين عايز يسمع رايديو رناااا  ,2
بس الحق يتقال مسلسل فشيخ بصراحه     D  ,1
ههههههه ماشي خقه  ,1
       فقدنا فيك الامل مفيش منك رجا رمينا طوبتك زمان          ,0
 علي_ربيع جاااااامد مالوش حل  ,1
   سءل الحسن البصري رحمه الله اين تجد الراحه فقال سجده بعد غفله وتوبه بعد ذنب      ,2
رسمت احلام    عشت ايام غنيت الهوي انغام  ,1
الليله ليله عمرناا     3alahwa  ,1
الله يخرب بيتك يامرسي  ,0
وحضرتك بالف صحه وخير      وكل ايامك فرحه  ,1
 لو_سانتا_كلوز_مصري هيتثبت بليل     ,0
هبتدي انام بدري بقي واقوم بدري عشان اذاكر والحوارات دي خره مش بتيجي معايا سكه  _   ,0
انا باجي علي الوقت ده ببقي عامله كده سوري ام نوت سوري  ,0
اكيد طبعا شرف ليكم خدم الزوبر  ,0
يمكن الرجوله صعبه بس مو ضروري تصير نثيه  ,0
اجمل ايام حياتي بجد  كتب_كتابي علي حبيبي  ,1
اخاطب الشيب وافاني علي صغر   عجلت ام عادني همي علي عجل   البياض في مفرقي لغه   قرات فصول الياس والامل   احدث_الليل  ,0
    مش حوار هسقطه  D      ,0
 انت اعلم الله        ,1
واللي يطنش     يطنش بكره يتطنش  ,0
انا عرفت في ديمسبر 2013ياسوكا وهنهي معاك في 2014  ,0
كل سنه وانت طيب ياصاحبي وعقبال     سنه ويارب سنه سعيده وتحقق كل احلامك     ,1
 وانا ليه اصحي الساعه الصبح عشان انزل درس     ليه هه  ,0
ههههههههههههه  سعيد_الهوا  ,1
الحمد لله علي العلامات السريعه القاطعه الشافيه   ,1
ايه المشكله احنا بلد فشل زويل ونجحت صافيناز  ,0
قلبك ملكك متشغلوش باي حد  ,1
الاختيار  قصه سيدي الحارث تربيزه خبط بالعقل اغنيهكام واحد لزاب يخت عالقهوه افضل ضيف  زاب ثروت اشهر زبون لكلوك  3alahwa  ,1
        لا اله الا الله العظيم الحليم  لا اله الا الله رب العرش العظيم  لا اله الا الله رب السماوات  ورب الارض  ورب العرش الكريم           ,2
معاكي حق    بس كمدافع بيقطع كرات    كويس  ,1
مش بيحبك   حافظ كام كلمه ماشي يقولها لاي بنت يقابلها     ,0
الحقيقه مبتزعلش  D  ,1
 الاختيار عمر سمره يحكي ان   افضل قصه الزءبق الاحمر افضل اغنيه ناس تشبهلنا اشهر زبون لكلوك القهوه افضل حمله خروفي  3alahwa  ,1
قلب كبير  ,1
 3alahwaاحمد جمال بودي جارد القهوه الزءبق الاحمر ناس تشبهلنا التبرع بالدم  ,2
ساكت برا    بس راديو جوا  ,0
الانتخابات اولا          الدستوراولا         النتيجه واحده  ,0
 بقيت بحس ان الايموشن دا      D   قليل الادب او بيدي ايحاءات بكدا  ,0
علي مبارك ابن ميتين الكلب  ,0
 مكنتش اعرف اني بعرف احب بالكميات دي نفس الوقت والله    الواحد بيكتشف قدرات مريبه جواه      D  ,1
محمد الوحيد اللي معندوش امتحان ونايم بدري   ,2
الغباء بيجيب ورا بس  ,0
تقريبا كده هنام    سلام  ,2
انا حقوق اهو ميرفت  _   ,2
مني السلام علي لست اهواه ولا يمل لساني عن ذكراه فان غاب عيني فالقلب مصدره  ,1
عيله وسخه بس بننجح  قصف_جبهه  D  ,0
ههههههههههههههههههههه عحبتني سطر النمل  ,1
انا لما مش بلاقي حد اشتغله    بقعد اشتغل في نفسي اضحك  D  D  ,1
الليالي غرتك    ,0
ممكن اكون الوحيد المستفاد 2014 عشان لسبب بسيط جربت كل الحرمات ريحت دماغي كل حاجه كان عندي فضول  ,1
خلص رح اسامحها    لانو حكت الحكي اللي كان نفسي احكيه وما كنت حابه افضح ابتسام بس الحمد لله الله كبير  ,1
عاده الناس اللي بيتكلموا عن الفضيله مش بيملكوها  ,0
بصفتك بنت وفاهمه البنات استفدت منك في معلومه كنت بتجاهلها نفسي يبقي ليا اخت زيك وتفهمني ولما احب واحده تقولي حمار اعملها  ,1
طب بتقشرو البرتقان ازااااي ماسك برتقانه بقالي ساعه مش عارف اقشرها لما شرحتها  D  ,0
وانا مهما اقع راح اقوم    ودي مساله مبدا  ,1
لو فضلت مع الناس العادات التقاليد الهبل ده حياتك هتنتهي قبل ما تبتدي  ,0
ان تتعلم جيدا كيف تقفز علي راسك  ,2
لك وصباحك عسل  ,1
انا اقدم عاصمه للحزن  ,0
يارب  ,1
هتتحاسبي علي استخدام خارج فيس بوك تويتر وواتس اب 25 للميجابايت الواحده Zahran  ,2
حتي الحشيش بيقلب المواجع بقي يطلب بنكد  ,0
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه خلص وانت بخير وبنحكي كمان ههههههههه  ,1
صوتها بيوهب قلبي حياه     ,1
انا بمتحن  ,2
قرارت حاسمه 2015 شخص لا يعتمد عليه مكنتش عايز تعزمه ظالم  ,0
    طبعا دي تبقي كارثه چينيه      ,0
الصحيه توفر نفقات الدواء والعلاج تعجز الحكومه عن تدبيرها لكل المصريين مقالي بالجمهوريه السبت       ,2
ريس لكن الكثير الناس سوف يستغل اللفظ خطا لاننا صرفنا ارباح الاموال للعملاء طوال الفتره   ,0
حبيت هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه  ,1
           النمله اصغر وللا البرغوت  _التمر حنه    القمله    السمسمه   ,2
الله يوفقك وتوصل لاعلا مرحله بالدني  بتستاهل كل الخير   لانك واءل وبكفي انك واءل  لك بعشقكككك  ,1
الحقيقه بدت مثل الخيال عدوي واذكا حبيب كل ماقفيت ناداني تعال لذه الحب في الشيء القليل  ,1
للاسف ماعندي علم  ,0
ههههههههههه كل دول عيالي اص       D  ,2
فقت نوم اغني شو اخبارك لنوال الزغبي مع ان مش وقتها بس حبيتها   ,1
لا بالعكس الباثولوجي انا كنت بحبها     ,1
غرد وقت الذروه ليتمكن اكبر عدد المتابعين مشاهدتها ماهو اربعه الفجر ماحد حولك  ,2
برضو مش فاهم لول معلش مسطله مع ديني  ,2
تمام انا محتاجه النسخه الكامله اكتاب ضروري  ,2
فندق اتلانتس  ,2
سالوا العرص تعلم نسبه البطاله في مصر     المصريين كلهم ابطال      اعم مش فاضي انا بحارب الارهاب    المختمل تحيا ماسر      ,0
شاي بسكويت للمره الرابعه علي التوازي    _   ,2
ينهمر البكااااااااااء مره اخري  ,0
وزير داخليهالانقلاب بيقول  نعيش عصرا ذهبيا لتكاتف القضاء مع الشرطه والجيش الاعلام   الشعب مش هيتكاتف الا هايتضرب علي قفاه بس ياحول   ,0
 عيش علي مبدا     اللهم نفسي      ,0
 مينفعش تنزل دمعه علي حد لانك لو ليك قيمه عندو مش هيوصلك انك تعيط  ,0
والله انا كتبها عشان كده برافو عليكي  D  ,1
هاهاها عم ماشي دول 15  ,2
انا كنت متخلف وقذر لما كنت بسمع  للكوجر داا ايه الكلاام بيقولو دا وايه الطريقه الزفت دي مش عاارف كنت بسمعو ازااي  ,0
سبق الامر  ,2
كليه كلبه جدا     ,0
امينه كنت عاوزه نمرتك دي ام  ,2
حرااااااام الظلم التحكيمي الفاجر ده  ,0
نتمني الفنانه رنا سماحه ضمن المرشحين بليززززز  ,1
مش عارف بصراحه انا مجربتش  ,2
 ان حد ميت يوحشك تفضل تفتكر مواقف ليه معاك تضحك لحد ما تدمع        ,0
مبسوط  ,1
كل سنه وانت طيب طيب نءجل التهنءه ليوم 23 ابريل مولدي    ينفع     ,1
انت عارف ليه بحبك ليه حبك ليه بيحلالي علشان بتكون عاشق مجنون حبك ليا مالي الكون بتبقي بريء ساعات جريء ولا قلبي بيهون  ,1
سبتك تعيش بعدي الحياه  ,1
وعليك قبلنا يانجم النجوم ياعندليب الحب والاحساس  ,1
ياباشا انا امرك بس انت قول جزر هاتلاقيني     خلينا بعد علشان الزحمه  ,1
ليثووووووووووووو شرف تويتر  LaithAbuJoda  ,1
غير ما تتكلمي مدي العيون سلمي  ,1
صوتك ده ايه الله عليه ملايكه بيغنوا      ,1
حسبي الله ونعم الوكيل فيك سيسي  ,0
لا الشعب مش بشاير  ,2
حاج فوزي مسا مسا لا يهمك خودي الاكونت كله اصلا  ,1
الخير جاي  ,1
انا بحكي طرمس     كل جبل القصور بحكوا طرمس      ,2
زيكو وبيتي قمرااات ربنا يحفظهم  زكي_شريف  IbtissamTiskat  ابتسام_تسكت  ZakiChreifinNewYear  ,1
تفتح التلفزيون تطلع لك الحديدي  قصه_قصيره_مرعبه  ,0
لما اشوفك  ,2
مين الناس دي  ,2
    بتنحاز تماما  نحاز فيهن فلسطين وحرر بلدك بطل مش تكونو اعداء لدوله احتضنتكن لعشرات سنين واكلتو خيراتا      ,0
   اللهم اكتب لي ماهو خير لي وارضني به       ,1
يستر الله    ماطلعتوش بنغازي  ,2
خلي لنفسك حدود لا انت  غيرك يتعدوها     ,2
هكونا متاتا ايام البراءه  ,1
   مفيش متابعه الشهر ده ولا الشهر اللي جاي ياريت متتعولقش اكتر كده      ,0
ههههههه رنا سماحه اللي صوتها مش صفحتها معديه المليون في الاحسن لليليا عدت الربع مليون بالعافيه عمرها ما بالايك  ,0
وايه ميخلكيش تدخلي صيدله   ,2
ملكه انا اشرف الاردن  ,2
